"ADC_doi","funding","abstract","Pub_citation","pub_abstract"
"doi:10.18739/A2SC4M",1417789,"The contributed data represents watercolumn backscatter data collected with a Simrad EK80 Wide-band Transceiver (WBT) transmitting through a Simrad ES18-11 scientific split-beam echosounder on the Icebreaker Oden during Leg 2 of the SWERUS-C3 2014 expedition (Swedish-Russian-US Arctic Ocean Investigation of Climate-Cryosphere-Carbon Interactions). The EK80 WBT was installed by UNH on the Oden especially for this program. The data were collected over a band of approximately 16 - 29 kHz providing extremely high resolution imagery of the water column that has allowed us to distinguish individual bubbles at methane gas seeps and fine-scale structure, including thermohaline steps, in the water column.  Files are named according to the format: ODEN-{Date}-{Time}.raw. ""ODEN"" indicates that the measurements were taken on the Icebreaker Oden. {Date} corresponds to the date that this 24-hour cycle of measurements concluded and {Time} is the number of hours, minutes, and seconds (in this format: HHMMSS) since this cycle of measurements began. For example, ""ODEN-D20140903-T192153.raw"" contains data recorded from the Icebreaker Oden taken during the 2014-09-03 cycle 19:21:53 after the cycle began.","Martin Jakobsson, Johan Nilsson, Leif Anderson, Jan Backman, Goran Bjork, Thomas M. Cronin, Nina Kirchner, Andrey Koshurnikov, Larry Mayer, Riko Noormets, Matthew O?Regan, Christian Stranne, Roman Ananiev, Natalia Barrientos Macho, Denis Cherniykh, Helen~Evidence for an ice shelf covering the central Arctic Ocean during the penultimate glaciation~Nature Communications.~7~2016~~~10.1038/ncomms/10365~0~ ~0~ ~30/03/2018 14:23:49.796000000","Methane is a potent greenhouse gas that is present in large amounts in frozen soils and marine sediments in the Arctic. In marine sediments, methane may be present either in permafrost or in gas hydrates. Warming of the Arctic may lead to the release of stored methane, leading to further warming and then to further methane releases in a reinforcing cycle. The East Siberian Sea, in the Arctic Ocean, is a large area with a great deal of undersea permafrost and, likely, stored methane. Recent work has suggested large sources of methane from parts of the East Siberian Sea, but the area needs to be mapped and studied in much greater detail before either the amount of methane stored there or the amount being released can be fully understood. In the summer of 2014, an international program called the Swedish-Russian-US Arctic Ocean Investigation of Climate-Cryosphere-Carbon Interactions (SWERUS-C3) will undertake a 90-day expedition to map, and study the carbon cycle in, the East Siberian Sea. The principal investigators of this proposal are leaders in ocean mapping and they have recently pioneered techniques for acoustic imaging of methane plumes released from the seafloor in the Gulf of Mexico. They have been invited by the leaders of the SWERUS-C3 team to participate in one leg of the expedition. They propose to use the multibeam sonar on board the ODEN to locate and characterize gas seeps in the water column and then apply a newly developed wideband transceiver to the split-beam echosounder on board the ODEN to constrain the size and fate of gas bubbles rising to the surface. Together, these acoustic observations will help the SWERUS-C3 team understand the flux of methane from the seafloor into the water column and potentially into the atmosphere. If successful, these techniques will allow the mapping of the gas flux in the Arctic over scales never before possible. This proposal requests support for the participation of the UNH team on this expedition and for post-cruise work-up of the data. The project will support a full time graduate student at UNH. A UNH undergraduate student will participate as well. The SWERUS-C3 program as a whole will support over 15 postdoctoral researchers and graduate students, and has a broad suite of outreach activities planned. The UNH Center for Coastal Ocean Mapping will also incorporate this work into ongoing outreach and education activities."
"doi:10.18739/A2ZS2KC8C",1418000,"Water from multiple sources in the Lake Peters watershed, Alaska, collected between 2015 and 2018 was analyzed for stable isotopes. The data were used for a hydrologic mixing model to estimate the proportion of summer rain, winter snow, and glacier melt (combined with baseflow), which comprise the hydrographs of Carnivore and Chamberlin Creeks, the two main inflows to Lake Peters. In addition, the geochemistry of water from the two creeks was analyzed over two days on a multi-hourly schedule. The study is described in a MS (Master of Science) thesis: Ellerbroek, R.A., 2018. Three-component hydrograph separation for the glaciated Lake Peters watershed, Arctic Alaska. MS Thesis, Northern Arizona University, Flagstaff, Arizona, ProQuest ID (identifier) 2112380481.","Schiefer, Erik, Darrell Kaufman, Nicholas McKay, Michael Retelle, Al Werner, and Steve Roof.~Fluvial suspended sediment yields over hours to millennia in the High Arctic at proglacial Lake Linnévatnet, Svalbard.~Earth Surface Processes and Landforms~~2017~~~10.1002/esp.4264~0~ ~0~ ~02/01/2018 13:27:08.243000000","Nontechnical

Accurate records of natural variability that cover broad temporal and spatial scales, and that capture intervals of non-linear change are needed to fully comprehend the arctic system. This project aims to develop the first system model to simulate the full chain of processes that control how weather and climate affect the processes that lead to deposition of a sediment record in lakes in glaciated watersheds. This model provides an alternative approach to previous statistically-based models traditionally used by paleo-climatologists to infer past climate variability from lake sediment records. The new process-based quantitative understanding will lay the groundwork for future studies that will be aimed at recovering records of environmental and climate change that extend back thousands of years. 

This project will contribute to ongoing efforts through collaborations with: utility managers of the Municipality of Anchorage who are planning for diminished glacier meltwater input to Eklutna Lake, a major source of their electricity and freshwater and with resource managers at US Fish and Wildlife Service who are developing a monitoring network for the Arctic Refuge and who are striving to foresee future changes in habitat quality associated with glacier retreat. This project will benefit climate science researchers by leading to more accurate climate reconstructions, which will be used as benchmarks for validating global climate model output. Finally, it will support four early-career scientists and will train graduate and undergraduate students in system-science research.

Technical

The primary goal of this project is to develop a system model that encodes the major processes that govern the amount and grain size of sediment that accumulates in arctic lakes in glaciated catchments, and to acquire the field-based data for model input and testing. Sediments that accumulate at the bottom of arctic lakes contain a wealth of information about how major features of the surrounding watershed have varied on seasonal to millennial time scales, as well as how they have responded to natural and anthropogenic forcings. Lakes in glaciated watersheds record changes in the melt rate of upstream glaciers, which are among the most dynamic components of the evolving arctic system. The sediment stored in glacier-fed lakes often comprise distinct rhythmic layers that represent annual cycles. These varved sediments are among the most valuable of all natural archives on Earth because they can be placed on a precise time line, and because they accumulate at a rate that is sufficiently high to track environmental variability on annual, and often seasonal, scales. They have been used extensively to reconstruct past climate changes in the Arctic, most often relying on statistical correlations between records from long-term weather stations and varve thickness. These statistical correlations disregard the complex and time-evolving interactions within the glacier-hydrology-lake-sedimentation system that link climate to changing properties of sediment deposited at the lake bottom. A more process-based understanding of the interactions that control sedimentation within lakes of glaciated catchments is needed to provide the next generation of paleoclimate reconstructions. By incorporating a system-modeling approach, a process-based system model will be developed to capture dynamic nonlinearities in the glacier-hydrology-lake-sedimentation system. The system model will couple three existing model components: a physically based, spatially explicit hydrological model, which includes a glacier sub-model; an empirically based sediment-flux model; and a process-response, basin-filling sedimentation model. The system model will be applied to three glaciated watersheds that fall along an environmental gradient spanning from the sub-Arctic to the High Arctic, including Lake Linne (Svalbard), Lake Peters (near McCall Glacier, Arctic National Wildlife Refuge), and Eklutna Lake (near Anchorage, Alaska). This study builds on extensive previous and on-going process studies at or near each of the study sites. Existing data and proposed glacier, hydrology, limnology, and sediment process studies will provide the input data to run the system model and to validate its output."
"urn:uuid:277a02ad-eb93-4143-a56e-b5c05161ba01",1148800,"BeringFall2012 L1 data (laser data, LaserTech ULS)","Trantow, T. and Herzfeld, U. C.~Spatiotemporal mapping of a large mountain glacier from CryoSat-2 altimeter data: surface elevation and elevation change of Bering Glacier during surge (2011?2014)~International Journal of Remote Sensing~37~2016~~~10.1080/01431161.2016.1187318~10019561~2962 to 2989~10019561~OSTI~28/09/2016 01:15:25.20000000","Funds are provided to observe, document and analyze the current surge of Bering Glacier and derive parameters that capture deformation characteristics during surge stages and provide information that may facilitate mechanical modeling of fast glacier movement. Observations will include aerial GPS, video and photographic data, fixed laser profilometry and time-sequenced satellite imagery. Analysis of the surge propagation will employ an automated spatial-statistical/connectionist approach developed by the PI, this allows derivation of deformation characteristics, as evident in surge crevasse structures from imagery, and linkage of them to ice dynamics.

Glacier surges can have an immediate and detrimental impact on ecosystems situated in their path.  Few such surges have been carefully observed and described making it difficult to understand what characteristics of surging glaciers can be expected as typical and what range of variability is realistic to anticipate.  This makes long-range management planning and risk assessment for such systems difficult.  The proposed research will contribute to the resolution of this issue."
"doi:10.18739/A28G8FH70",1107892,"Permafrost thaw exposes previously frozen soil organic matter to microbial decomposition. This process generates methane and carbon dioxide, and thereby fuels a positive feedback process that leads to further warming and thaw. Despite widespread permafrost degradation during the past ~40 years, the degree to which permafrost thaw may be contributing to a feedback between warming and thaw in recent decades is not well understood. Radiocarbon evidence of modern emissions of ancient permafrost carbon is also sparse. Here we combine radiocarbon dating of lake bubble trace-gas methane (113 measurements) and soil organic carbon (289 measurements) for lakes in Alaska, Canada, Sweden and Siberia with numerical modelling of thaw and remote sensing of  thermokarst shore expansion. Methane emissions from thermokarst areas of lakes that have expanded over the past 60 years were directly proportional to the mass of soil carbon inputs to the lakes from the erosion of thawing permafrost. Radiocarbon dating indicates that methane age
from lakes is nearly identical to the age of permafrost soil carbon thawing around them. Based on this evidence of landscape-scale permafrost carbon feedback, we estimate that 0.2 to 2.5 Pg permafrost carbon was released as methane and carbon dioxide in thermokarst expansion zones of pan-Arctic lakes during the past 60 years.","Tan, Z., Zhuang, Q. L. & Walter Anthony, K. M.~Modeling methane emissions from arctic lakes: model development and site-level study.~Journal of Advances in Modeling Earth Systems~07~2015~~~10.1002/2014MS000344~0~ ~0~ ~02/12/2020 04:03:16.953000000","Collaborative Research on Carbon, Water, and Energy Balance of the Arctic Landscape
at Flagship Observatories in Alaska and Siberia

ABSTRACT

The arctic landscape interacts with the global and regional climate by exchanging carbon dioxide, methane, water, and energy with the atmosphere.  Understanding how these exchanges are regulated and how they change is a key goal of the US Study of Environmental Arctic Change and the NSF Arctic Observatory Network.  The first goal of this work is year round monitoring of carbon, water, and energy balance at two arctic sites, Imnavait Creek in Alaska and Cherskii in Siberia.  The work will be a collaboration among researchers from the Marine Biological Laboratory, the University of Alaska Fairbanks, Northeast Science Station, Russia, and the University of Michigan.  The second goal is the development of these two sites as  ?Flagship? observatories for research on arctic lands and freshwaters.  The main task here is to integrate the new carbon, water, and energy balance data with the already large, diverse, and growing data bases from other research done at these sites.  A third aim is to promote PanArctic comparisons and development of PanArctic data bases.
  
	Broader impacts include contributions to education, including underrepresented groups, through participation in the Logan Science Journalism program, the Arctic Long-Term Ecological Research Schoolyard program, and outreach to Native Alaskan communities.  Research and education infrastructure will be enhanced by making the data bases available online.  Benefits to society include improved understanding of the impacts of climate change, especially in Alaska where the local residents are closely tied to the land through traditional, subsistence lifestyles."
"doi:10.18739/A2KJ9C",1107737,"Introduction:   Between 1958 and 1999, Austin Post led the USGS collection of aerial imagery of North American glaciers. These images are primarily vertical stereo black and white images, although single oblique images, as well as color images have been collected. The glaciers of North America were the subjects, and the digital products made available here serve to document the changes that have occurred to the glaciers over the past 5 decades. The purpose of this project is to preserve the data contained within these film images in a digital format for future analysis of North American glacier change.   File Layout:    1.   The first level contains an overall data set of image metadata from 1964 - 1997 (nagapData.csv) and an R script (searchData.R) with instructions on how to search and subset the data.  fileLayout.pdf shows the file structure and folder contents visually.  There are also three kml files with flight path information by decade.   2.   The second level is the year in which the pictures were taken.  There are 32 years with images from 1964 – 1997.  The majority of these folders are jpegs with notes provided by Austin Post.  They also contain a year-specific csv (YYYY.csv) that contains image metadata for the entire year (date, roll numbers, location name, longitude, latitude, altitude, media, and comments).  The overall data set (nagapData.csv) is the aggregate of each individual “YYYY.csv” file.   3.   The glacier photos are located at the third level (this level).  The folders at this level are distinguished by camera roll number (1, 2, etc.), and image type (thumbnail, jpeg, or tif); some also contain fiducial and oblique image folders.  This level primarily contains image files of aerial photos as either thumbnails, jpegs, or tifs. It also includes a csv with image metadata specific to each roll (date, roll numbers, location name, longitude, latitude, altitude, media, and comments), a text file (info.txt) with camera specifications unique to each image, and a text file (histo.txt or matchReport.txt) with color information and scanner specifications unique to each image.",NA,NA
"doi:10.18739/A2D667",1203902,"This product includes netCDF files that contain time-height fields of retrieved in-cloud turbulent dissipation rate retrieved from vertically-pointing, Ka-band cloud radar and supporting measurements. These data are used to determine the vertical extent and magnitude of cloud-driven atmospheric mixing and specifically the based of the cloud-driven mixed layer, which might be at the surface. Additionally, the data set includes information on cloud/hydrometeor base and top, vertical wind profiles, and cloud liquid and ice water paths. Files are available for most of 2000-2008. All measurement data from from the US Department of Energy Atmospheric Radiation Measurement (ARM) Program : North Slope of Alaska (NSA) site in Barrow, Alaska. The data set time period may be expanded in the future.","Intrieri, J.M., G. de Boer, M.D. Shupe, J.R. Spackman, J. Wang, P.J. Neiman, G.A. Wick, T. Hock, and R.E. Hood~Global Hawk dropsonde observations of the Arctic atmosphere during the Winter Storms and Pacific Atmospheric Rivers (WISPAR) campaign~Atmos. Meas. Tech.~7~2014~3917~~10.5194/amt-7-3917-2014~0~ ~0~ ~05/01/2021 04:03:12.936000000","The project will utilize results from several Arctic measurement sites, including long-term observations at Barrow, Alaska, and shorter-term observations from Summit, Greenland, and two measurement campaigns over the Arctic Ocean to improve upon previous estimates of Arctic aerosol-cloud interactions. To do this a critical first step will involve understanding the conditions under which surface aerosol conditions, as generally used in the compilation of statistical datasets addressing this issue, are comparable to those at cloud level. Using a variety of techniques, the distinction between surface-coupled and decoupled cloud states will focus evaluation of aerosol-cloud interactions on appropriate cases, reducing statistical contamination. From these cases, a statistical evaluation will be performed to reveal co-variation between key cloud (e.g. liquid water path, ice water path) and aerosol (e.g. concentration, size, hygroscopicity) properties. Combined with surface radiation measurements and idealized radiative transfer simulations, the results from this evaluation will provide an improved estimate of the net radiative impact of aerosols on Arctic clouds. Additionally, it will provide an overview of the seasonal evolution and surface-state dependence of these relationships.  Outreach plans include several visits to Arctic regions, with a focus on the North Slope of Alaska and Greenland. The primary aim of these visits is to disseminate information relevant to the proposed research to seminar audiences consisting of local people (including underrepresented native people), primary school students, and local officials. A secondary aim of these visits is to give Arctic researchers (particularly early career researchers) who have never had a chance to visit the Arctic themselves an opportunity to see firsthand the region on which their efforts focus.  This project will also support two early career scientists at the University of Colorado."
"doi:10.18739/A2C090",1107106,"Passive acoustic data from instruments on moorings in the Bering Strait region. The data for this instrument were collected at 65.75 N latitude and 168.25 W longitude. Data were recorded from 10 Hz - 4096 Hz (8 kHz sample rate) the first 20 minutes of each hour from July 2014- July 2015.","Chou, Emily and Antunes, Ricardo and Sardelis, Stephanie and Stafford, Kathleen M. and West, Leigh and Spagnoli, Christopher and Southall, Brandon L. and Robards, Martin and Rosenbaum, Howard C.~Seasonal variation in Arctic marine mammal acoustic detection in the northern Bering Sea~Marine Mammal Science~~2019~~~10.1111/mms.12658~10132233~ ~10132233~OSTI~28/01/2020 21:01:48.596000000","Funds are provided to establish a base program for year-round acoustic monitoring of marine mammals in Bering Strait. Instrumentation will be added onto an existing high resolution physical and biological mooring program (National Science Foundation-Arctic Observing Network (AON) and RUSsian American Long-term Census of the Arctic), also supported by annual survey data. The combination of these data sets will provide urgently required, base-line information on how species presence varies seasonally with changes in sea ice, currents, ocean water temperatures and freshwater flow. Building on opportunistic proof-of-concept deployments in the strait in the last 2 years, the proposed effort will also provide critical, consistent data on interannual variability, and allow for the testing of cutting edge scientific hypotheses such as: how do oceanographic conditions dictate the residency of different marine mammal species? Are temperate species ?invading? the Arctic? What is the correlation between ice cover and marine mammal sound production?

The Bering Strait is the only oceanic connection between the Pacific and the Arctic oceans. It is through this narrow (~85 km) passageway that the entire population of Bering-Chukchi-Beaufort bowhead whales passes twice yearly and that herds of beluga whales access Arctic waters. It is thought to be year-round habitat for ice seals and walrus . The Bering Strait is also the path by which Pacific sub-Arctic marine species are invading the Arctic. As the Northwest Passage becomes a viable Pacific-Atlantic shipping route, every ship along this route will pass through Bering Strait. It is, therefore, the region where climate change and changing anthropogenic utilization may have sizeable impacts on local marine fauna, and where changing fluxes of marine mammals to the Arctic can be well observed. Passive acoustic monitoring is the only method currently available to identify year-round, and in all weather conditions, the presence of marine mammals and other physical (ice movement) or anthropogenic (ships, oil and gas seismic exploration) sounds."
"doi:10.18739/A2VM42X50",1107481,"Lake ice thickness has been systematically measured in a set of 39 lakes located in seven representative study areas ranging from the coastal plain to the mountains of Alaska's North Slope from 2012 to 2017 as part of the CircumArctic Lake Observation Network (CALON) and the Arctic Lake Ice Systems Science (ALISS) Project. Measurements are made in the late winter (March to May) when lake ice thickness is close to its annual maximum. Average ice thicknesses are reported for study area per year based on average from many lakes and multiple measurements per lake (typically made near the lake center). Maximum ice thickness is estimated based on fitting an ice growth curve based on local air temperature records (and in most cases snow depth and density) to observations. Additional late winter ice thickness data from these same study areas collected by other project is also reported for the period from 1962 to 2011 and estimates of maximum ice thickness made using the same technique. Only lakes with floating ice regimes (i.e. depths greater than maximum ice thickness) are reported in this dataset.","Arp, C. D., M. S. Whitman, B. M. Jones, R. Kemnitz, G. Grosse, and F. E. Urban~Drainage network structure and hydrologic behavior of three lake-rich watersheds on the Arctic Coastal Plain~Arctic, Antarctic, and Alpine Research~44~2012~385-398~~http://dx.doi.org/10.1657/1938-4246-44.4.385~0~ ~0~ ~02/12/2020 04:03:16.953000000","The scientific goals and methods that address the intellectual merits of the research are: (1) Expand on existing lake monitoring sites in northern Alaska by developing a network of regionally representative lakes along environmental gradients from which we will collect baseline data to assess current physical, chemical, and biological lake characteristics.  This will allow the project scientists to make spatial and temporal comparisons to determine the impact of warmer temperatures, changing cloud cover and precipitation patterns, permafrost degradation, and direct human impacts on lakes; (2) Implement a multiscale (hierarchical) lake instrumentation scheme such that basic data is collected from 51 lakes, while a subset of lakes are more intensively instrumented; (3) Provide regional scaling and extrapolation of key metrics through calibration and validation of satellite imagery with ground measurements; and (4) Develop and implement standardized protocols to enable inter-site comparison and to prepare for expansion towards a pan-Arctic network. The education/outreach goals that address the broader impacts of the research outlined above are: (1) Incorporate indigenous observations of lake physical and biological characteristics and changes. Innovative interactive methods of sharing information will be developed and made available through native and local organizations. Scientific and technical training will be provided to Iñupiat students for monitoring lake and drinking water quality; (2) Develop a demonstration monitoring network based on the Delay Tolerant Network (DTN) architecture and link this network to research centers, indigenous communities, and other power- and connectivity-challenged environments; (3) Develop and refine data management, visualization, and archiving activities with A-CADIS; and (4) Provide an introduction to Arctic science for several beginning investigators."
"doi:10.18739/A2W29B",1432982,"The International Tundra Experiment (ITEX) was chartered in 1990 to
                                 test the effects of increased temperature on tundra plant phenology,
                                 growth, species composition and ecosystem function. Since 2007, the
                                 ITEX-Arctic Observatory Network (ITEX-AON) has continued and expanded
                                 on the ITEX program across a latitudinal transect of five sites in
                                 Alaska and Greenland, collecting core ITEX data specifically designed
                                 to address the current needs outlined in the Study of Environmental
                                 Arctic Change (SEARCH) Implementation Report. The goal of this effort
                                 is to maintain the continuity of the temporally-critical datasets of
                                 the ITEX-AON in Alaska and Greenland. Core datasets include the
                                 long-term manual observations of phenology, vegetation structure and
                                 composition, ecosystem function, and surface properties on the
                                 long-term ITEX control and experimental warming plots, repeat
                                 measurement of the vegetation plots on the 1
                                 km 2 Arctic Systems Science (ARCSS) grids, and a multifactor
                                 warming-moisture experiment in Greenland. The simultaneous measurement
                                 of multiple surface properties at the small scale has allowed
                                 detection of relationships not previously recognized, e.g., in
                                 moss-dominated areas of the intensive transects, higher albedo is
                                 linked to higher temperatures.  This data package includes spectroradiometer data from the Mobile Instrumented Sensor Platform (MISP), formerly known as the Networked Info-mechanical Systems (NIMS).","Barrett, RTS, R. D. Hollister, S. F. Oberbauer, and C. E. Tweedie.~Arctic plant responses to changing abiotic factors in northern Alaska.~American Journal of Botany~102~2015~2020~~~0~ ~0~ ~31/08/2016 10:36:55.600000000","The International Tundra Experiment (ITEX) was chartered in 1990 to test the effects of increased temperature on tundra plant phenology, growth, species composition and ecosystem function.  Since 2007, the ITEX-Arctic Observatory Network (ITEX-AON) has continued and expanded on the ITEX program across a latitudinal transect of five sites in Alaska and Greenland, collecting core ITEX data specifically designed to address the current needs outlined in the Study of Environmental Arctic Change (SEARCH) Implementation Report.  The goal of this effort is to maintain the continuity of the temporally-critical datasets of the ITEX-AON in Alaska and Greenland.  Core datasets include the long-term manual observations of phenology, vegetation structure and composition, ecosystem function, and surface properties on the long-term ITEX control and experimental warming plots, repeat measurement of the vegetation plots on the 1km2 ARCSS grids, and a multifactor warming-moisture experiment in Greenland.  The simultaneous measurement of multiple surface properties at the small scale has allowed detection of relationships not previously recognized, e.g., in moss-dominated areas of the intensive transects, higher albedo is linked to higher temperatures.  Continuation of these measurements is imperative because increasing evidence points towards the critical importance of carry-over effects of the previous growing seasons on current and future responses and the inherent variability in the system precluded determination of the system response on the basis of a few years.  Data from this project are freely available on the ACADIS website.  The project will continue extensive outreach activities established in the initial phase, including strong relationships between the Fairchild Tropical Botanic Garden (FTBG) and the GVSU Regional Math and Science Center and school systems in Miami, Anchorage, Grand Rapids, and El Paso."
"doi:10.18739/A2W29B",1432982,"The International Tundra Experiment (ITEX) was chartered in 1990 to
                                 test the effects of increased temperature on tundra plant phenology,
                                 growth, species composition and ecosystem function. Since 2007, the
                                 ITEX-Arctic Observatory Network (ITEX-AON) has continued and expanded
                                 on the ITEX program across a latitudinal transect of five sites in
                                 Alaska and Greenland, collecting core ITEX data specifically designed
                                 to address the current needs outlined in the Study of Environmental
                                 Arctic Change (SEARCH) Implementation Report. The goal of this effort
                                 is to maintain the continuity of the temporally-critical datasets of
                                 the ITEX-AON in Alaska and Greenland. Core datasets include the
                                 long-term manual observations of phenology, vegetation structure and
                                 composition, ecosystem function, and surface properties on the
                                 long-term ITEX control and experimental warming plots, repeat
                                 measurement of the vegetation plots on the 1
                                 km 2 Arctic Systems Science (ARCSS) grids, and a multifactor
                                 warming-moisture experiment in Greenland. The simultaneous measurement
                                 of multiple surface properties at the small scale has allowed
                                 detection of relationships not previously recognized, e.g., in
                                 moss-dominated areas of the intensive transects, higher albedo is
                                 linked to higher temperatures.  This data package includes spectroradiometer data from the Mobile Instrumented Sensor Platform (MISP), formerly known as the Networked Info-mechanical Systems (NIMS).","Hollister, Robert D., Jeremy L. May, Kelseyann S. Kremers, Craig E. Tweedie, Hollister, R.D., May, J.L., Kremers, K.S., Tweedie, C.E., Oberbauer, S.F., Liebig, J.A., Botting, T.F., Barrett, R.T. and Gregory, J.L.,~Warming experiments elucidate the drivers of observed directional changes in tundra vegetation~Ecology and Evolution~5~2015~1881~~~0~ ~0~ ~31/08/2016 10:36:55.616000000","The International Tundra Experiment (ITEX) was chartered in 1990 to test the effects of increased temperature on tundra plant phenology, growth, species composition and ecosystem function.  Since 2007, the ITEX-Arctic Observatory Network (ITEX-AON) has continued and expanded on the ITEX program across a latitudinal transect of five sites in Alaska and Greenland, collecting core ITEX data specifically designed to address the current needs outlined in the Study of Environmental Arctic Change (SEARCH) Implementation Report.  The goal of this effort is to maintain the continuity of the temporally-critical datasets of the ITEX-AON in Alaska and Greenland.  Core datasets include the long-term manual observations of phenology, vegetation structure and composition, ecosystem function, and surface properties on the long-term ITEX control and experimental warming plots, repeat measurement of the vegetation plots on the 1km2 ARCSS grids, and a multifactor warming-moisture experiment in Greenland.  The simultaneous measurement of multiple surface properties at the small scale has allowed detection of relationships not previously recognized, e.g., in moss-dominated areas of the intensive transects, higher albedo is linked to higher temperatures.  Continuation of these measurements is imperative because increasing evidence points towards the critical importance of carry-over effects of the previous growing seasons on current and future responses and the inherent variability in the system precluded determination of the system response on the basis of a few years.  Data from this project are freely available on the ACADIS website.  The project will continue extensive outreach activities established in the initial phase, including strong relationships between the Fairchild Tropical Botanic Garden (FTBG) and the GVSU Regional Math and Science Center and school systems in Miami, Anchorage, Grand Rapids, and El Paso."
